Loading configuration... done.

Step #220.00 (1ms ~= 1000.00*RT, ~166000.00UPS, vehicles TOT 175 ACT 166)     
Step #221.00 (2ms ~= 500.00*RT, ~83000.00UPS, vehicles TOT 175 ACT 166)       
Step #222.00 (2ms ~= 500.00*RT, ~83000.00UPS, vehicles TOT 175 ACT 166)       
Step #223.00 (2ms ~= 500.00*RT, ~83000.00UPS, vehicles TOT 175 ACT 166)       
Step #224.00 (1ms ~= 1000.00*RT, ~166000.00UPS, vehicles TOT 175 ACT 166)     
Step #225.00 (2ms ~= 500.00*RT, ~83000.00UPS, vehicles TOT 175 ACT 166)       
Step #226.00 (2ms ~= 500.00*RT, ~83000.00UPS, vehicles TOT 175 ACT 166)       
Step #227.00 (1ms ~= 1000.00*RT, ~166000.00UPS, vehicles TOT 175 ACT 166)     
Step #228.00 (2ms ~= 500.00*RT, ~83000.00UPS, vehicles TOT 175 ACT 166)       
Step #229.00 (1ms ~= 1000.00*RT, ~166000.00UPS, vehicles TOT 175 ACT 166)     
Step #230.00 (2ms ~= 500.00*RT, ~83000.00UPS, vehicles TOT 175 ACT 166)       
Step #231.00 (2ms ~= 500.00*RT, ~83000.00UPS, vehicles TOT 175 ACT 166)       
Step #232.00 (1ms ~= 1000.00*RT, ~166000.00UPS, vehicles TOT 175 ACT 166)     
Step #233.00 (2ms ~= 500.00*RT, ~83000.00UPS, vehicles TOT 175 ACT 166)       
Step #234.00 (2ms ~= 500.00*RT, ~83000.00UPS, vehicles TOT 175 ACT 166)       
Step #235.00 (1ms ~= 1000.00*RT, ~166000.00UPS, vehicles TOT 175 ACT 166)     
Step #236.00 (2ms ~= 500.00*RT, ~83000.00UPS, vehicles TOT 175 ACT 166)       
Step #237.00 (1ms ~= 1000.00*RT, ~166000.00UPS, vehicles TOT 175 ACT 166)     
Step #238.00 (2ms ~= 500.00*RT, ~83000.00UPS, vehicles TOT 175 ACT 166)       
Step #239.00 (2ms ~= 500.00*RT, ~83000.00UPS, vehicles TOT 175 ACT 166)       
Step #240.00 (1ms ~= 1000.00*RT, ~166000.00UPS, vehicles TOT 175 ACT 166)     
Step #241.00 (2ms ~= 500.00*RT, ~83000.00UPS, vehicles TOT 175 ACT 166)       
Step #242.00 (2ms ~= 500.00*RT, ~83000.00UPS, vehicles TOT 175 ACT 166)       
Step #243.00 (1ms ~= 1000.00*RT, ~166000.00UPS, vehicles TOT 175 ACT 166)     
Step #244.00 (2ms ~= 500.00*RT, ~83000.00UPS, vehicles TOT 175 ACT 166)       
Step #245.00 (1ms ~= 1000.00*RT, ~166000.00UPS, vehicles TOT 175 ACT 166)     
Step #246.00 (2ms ~= 500.00*RT, ~83000.00UPS, vehicles TOT 175 ACT 166)       
Step #247.00 (1ms ~= 1000.00*RT, ~166000.00UPS, vehicles TOT 175 ACT 166)     
Step #248.00 (2ms ~= 500.00*RT, ~83000.00UPS, vehicles TOT 175 ACT 166)       
Step #249.00 (2ms ~= 500.00*RT, ~83000.00UPS, vehicles TOT 175 ACT 166)       
Step #250.00 (1ms ~= 1000.00*RT, ~165000.00UPS, vehicles TOT 175 ACT 165)     
Step #251.00 (1ms ~= 1000.00*RT, ~164000.00UPS, vehicles TOT 175 ACT 164)     
Step #252.00 (2ms ~= 500.00*RT, ~82000.00UPS, vehicles TOT 175 ACT 164)       
Step #253.00 (2ms ~= 500.00*RT, ~82000.00UPS, vehicles TOT 175 ACT 164)       
Step #254.00 (1ms ~= 1000.00*RT, ~164000.00UPS, vehicles TOT 175 ACT 164)     
Step #255.00 (2ms ~= 500.00*RT, ~82000.00UPS, vehicles TOT 175 ACT 164)       
Step #256.00 (1ms ~= 1000.00*RT, ~164000.00UPS, vehicles TOT 175 ACT 164)     
Step #257.00 (2ms ~= 500.00*RT, ~82000.00UPS, vehicles TOT 175 ACT 164)       
Step #258.00 (1ms ~= 1000.00*RT, ~164000.00UPS, vehicles TOT 175 ACT 164)     
Step #259.00 (2ms ~= 500.00*RT, ~82000.00UPS, vehicles TOT 175 ACT 164)       
Step #260.00 (1ms ~= 1000.00*RT, ~164000.00UPS, vehicles TOT 175 ACT 164)     
Step #261.00 (2ms ~= 500.00*RT, ~82000.00UPS, vehicles TOT 175 ACT 164)       
Step #262.00 (1ms ~= 1000.00*RT, ~164000.00UPS, vehicles TOT 175 ACT 164)     
Step #263.00 (2ms ~= 500.00*RT, ~82000.00UPS, vehicles TOT 175 ACT 164)       
Step #264.00 (1ms ~= 1000.00*RT, ~164000.00UPS, vehicles TOT 175 ACT 164)     
Step #265.00 (2ms ~= 500.00*RT, ~82000.00UPS, vehicles TOT 175 ACT 164)       
Step #266.00 (1ms ~= 1000.00*RT, ~164000.00UPS, vehicles TOT 175 ACT 164)     
Step #267.00 (1ms ~= 1000.00*RT, ~164000.00UPS, vehicles TOT 175 ACT 164)     
Step #268.00 (2ms ~= 500.00*RT, ~82000.00UPS, vehicles TOT 175 ACT 164)       
Step #269.00 (1ms ~= 1000.00*RT, ~164000.00UPS, vehicles TOT 175 ACT 164)     
Step #270.00 (1ms ~= 1000.00*RT, ~164000.00UPS, vehicles TOT 175 ACT 164)     
Step #271.00 (2ms ~= 500.00*RT, ~82000.00UPS, vehicles TOT 175 ACT 164)       
Step #272.00 (2ms ~= 500.00*RT, ~82000.00UPS, vehicles TOT 175 ACT 164)       
Step #273.00 (1ms ~= 1000.00*RT, ~164000.00UPS, vehicles TOT 175 ACT 164)     
Step #274.00 (2ms ~= 500.00*RT, ~82000.00UPS, vehicles TOT 175 ACT 164)       
Step #275.00 (2ms ~= 500.00*RT, ~82000.00UPS, vehicles TOT 175 ACT 164)       
Step #276.00 (1ms ~= 1000.00*RT, ~164000.00UPS, vehicles TOT 175 ACT 164)     
